search,title,card_name,condition,price,shipping,total_price,mkt_price,cond_price,value_score,cond_value,bid_count,time_listed,time_left,buy_it_now,best_offer,url
N4-H,Dark Espeon 04/105 Neo Destiny Holo Pokemon TCG (10/20),Dark Espeon,,65.00,4.95,69.95,182.56,73.02400000000000405364630751,61.68382997370727432077125329,4.209574934268191119364905545,,2021-10-20 17:52:00,,,,https://www.ebay.com/itm/265369817253?hash=item3dc94610a5:g:Hi4AAOSwO2dhcJxh
JN-R,Pinsir Rare - 25/64 Unlimited Jungle PL,Pinsir,,2.49,,2.49,3.79,1.516000000000000084154905267,34.30079155672823218997361478,-64.24802110817941040746922384,,2021-10-20 17:51:00,,,,https://www.ebay.com/itm/144255916024?hash=item21965297f8:g:DagAAOSwtjZhcJxy
JN-R,Vileplume Rare - 31/64 Unlimited Jungle PL,Vileplume,,2.49,,2.49,3.7,1.480000000000000082156503822,32.70270270270270270270270270,-68.24324324324323390386712396,,2021-10-20 17:51:00,,,,https://www.ebay.com/itm/144255916027?hash=item21965297fb:g:MLgAAOSwoRZhcJwt
N1-R,Focus Band 86/111 - Pokemon Card - Neo Genesis - 1st Edition - MP,Focus Band,MP,7.99,0.50,8.49,10.54,6.323999999999999765964986409,19.44971537001897533206831120,-34.25047438330171274815173891,,2021-10-20 17:09:00,,,,https://www.ebay.com/itm/144255886874?hash=item219652261a:g:hboAAOSwIj5hTzz5
FS-R,Ditto 18/62 LP/EX -Vintage Rare Pokemon Card- Fossil ,Ditto,LP,3.53,,3.53,4.41,3.086999999999999804156658456,19.95464852607709750566893424,-14.35050210560415367501925481,,2021-10-20 17:04:00,,,,https://www.ebay.com/itm/373763234540?hash=item5706065aec:g:c7EAAOSwiLZhcJIx
TR-H,Dark Gyarados 8/82 Prerelease Stamped Holo Rare Pokemon Team Rocket NM-MINT ,Dark Gyarados,NM,14.90,,14.90,23.66,18.92800000000000105071507051,37.02451394759087066779374472,21.28064243448859270454434356,,2021-10-20 16:06:00,,,,https://www.ebay.com/itm/194453312490?hash=item2d465213ea:g:t7gAAOSw~6lhcISj
GH-H,Lt. Surge's Fearow 7/132 Pokemon TCG Gym Heroes Unlimited Holo Rare LP!,Lt. Surge's Fearow,LP,19.99,,19.99,31.22,21.85399999999999861355348685,35.97053171044202434336963485,8.529331014917171830365604930,,2021-10-20 15:53:00,,,,https://www.ebay.com/itm/174986579719?hash=item28be034f07:g:DrIAAOSwgJlhcIGM
N4-H,Pokemon TCG: Dark Scizor - Neo Destiny #9/105 NM,Dark Scizor,NM,55.00,4.50,59.50,90.65,72.52000000000000402566868729,34.36293436293436293436293436,17.95366795366795822244001415,,2021-10-20 15:24:00,,,,https://www.ebay.com/itm/115055906250?hash=item1ac9ddcdca:g:F8wAAOSwxnNhcHrA
N3-H,Pokemon Celebi 3/64 Holo Neo Revelation Excellent MP/D,Celebi,MP,25.00,,25.00,71.33,42.79799999999999841615583307,64.95163325389036870881816907,41.58605542315061235294674084,,2021-10-20 15:15:00,,,,https://www.ebay.com/itm/334188839018?hash=item4dcf35006a&_trkparms=ispr%3D1&amdata=enc%3AAQAGAAADoBtb7U7B9NqfE48xu2O4BklRCm%252FkvnUI1sItnvwNXlAd9VzVCgZXDVrnDZCadK7HQusQ1yOag6Tn%252Fli%252FMvuCMl4YdrkY%252FoHBEDcnaqMlQU2OVNKBrRU7inWK%252Blf9DdMNP41xiQm%252BJd5VELg8mluwNc8gnosbret9Z5yEZVE7f8KWknzlDNhzcH5UugO7B1B0zhAg31r09LsngG3CsGpI6U2tzMCV4aMfa6scoGav0Tny0tfEDzEIv1M1oyJs3Jo0LO2Ltgdh7nDIH1AbaeEbq8x%252F9PkyM5rn5ad1frOkSbOJyHs%252Bh9KTN2e%252FS1pNOjt6LBhQu047ZYu%252BKVrfihRld7TR1A5ziFwEi1wRceG%252FUy0offjjuFszy%252Fn57AFYVTYvnU6mzt%252BUee%252Bz0aREQG71hFOok3NI%252BGRsb52XK3iwfbCYkErs2%252Bk8caAZn%252F2ncflXla409CfJrBJgE6huH9Q9zrll4sKZ1H4gL6EkviLfJVlb0%252FiYkNn3O0kEbCx6WoYVVFw6FSQq0vWxlxzidTOMskVdnyf28JfroCnJM7PdhYFzds%252BXLCBQitLMNXF6fXhflBJG%252FOO3R0aR1UCQKtP4BlDhnnhn1nD6z4iyGePtE31v826jI1zAkrDJyKcfntKuoL9qldpndUOY6U6Xoi3dKgbeHceL8jXMAJRSvp8KFq%252B7VIrZzkAqgwIrZvspViHo7ruafAdz623XCf0cxIxTMF4M3lSLMYqdt1fHtdUTM4ari%252BBlUCiSbZsU1EmWHqgds%252BW4vsZU44m6GnBjvvbOUvRu9FXZbnUY%252B62UqlUpxsZFUj%252FJgUHzxURsIOBVrlLmMLSnv0lAoWL5OxPRwCK3c81qXCuMtSbLiKVJjD%252BI7yE71dWLnjcxntwAOJChJLFbpYzbuYATo8dfnD1lj3r5iyR%252B83c4%252BdzEnE4C3WXEoWzOgVbcv0YYYLHvHwWY%252BJZWntXk57TZI2fLHSnk8VQ8XIWQ3WYHdHHFFgEeJbOH6KwWp82GgMtIGgx3DYpmg%252BkUZVMLYHq7mpK9rMNdz6oG7VV8wl7kroOZOl5wIXS55vY%252FzO3B83kD46Qx7Ac2f7HKVwG5tvEUPTEc96DvjGQnVr60jj9eKADypX61ycsPRyZn%252F1LT188xKA0NXMEKyCquiIvaD4e9aO3JQYz8%252FVdPtQPUWYz8ZXh1rAQV0Q1DiZsLNnBfA2rQBz9i9WYrmw%252FnNeSvRtuaVw4jDAIOgFJqzJE%253D%7Campid%3APL_CLK
N3-H,Pokemon Celebi 3/64 Holo Neo Revelation Excellent MP/D,Celebi,MP,25.00,0.50,25.50,71.33,42.79799999999999841615583307,64.25066591896817608299453245,40.41777653161362460000567566,,2021-10-20 15:15:00,,,,https://www.ebay.com/itm/334188839018?hash=item4dcf35006a:g:xF4AAOSw8q5hcHiM
